run_set,paper_model,model_type,run_id,experiment_id,run_name,preset_name,seed,metric,step,timestamp,value
drift,EOPKG,EOPKGTopologyConditioned,210a1a668a5649d1b5ff4f4adc5fb93b,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3-drift-last-42_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3-drift-last,42,eval_drift_one_pass_candidate_valid_probability_mass,0,1780546622530,0.9047306848382487
drift,EOPKG,EOPKGTopologyConditioned,4817ad917cbf4f558457cc61fa97af1c,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-13_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,13,eval_drift_one_pass_candidate_valid_probability_mass,0,1781590349354,0.9139142326570041
drift,EOPKG,EOPKGTopologyConditioned,8a1baf464cd646e4910f642c7181071d,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-last-99_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift-last,99,eval_drift_one_pass_candidate_valid_probability_mass,0,1781543617604,0.9047110062569301
drift,EOPKG,EOPKGTopologyConditioned,b739aca822a14a1cbd642cd4ac692d17,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-78_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,78,eval_drift_one_pass_candidate_valid_probability_mass,0,1781020453120,0.9088272057006765
drift,EOPKG,EOPKGTopologyConditioned,ccb2bb84de7346c3b83974ea37cf2fe9,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-last-32_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift-last,32,eval_drift_one_pass_candidate_valid_probability_mass,0,1781544758372,0.8710773243171813
drift,EOPKG,EOPKGTopologyConditioned,e53ccb9930de4f7bb9b8aac4b4105174,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-67_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,67,eval_drift_one_pass_candidate_valid_probability_mass,0,1781012289888,0.8809596817522899
drift,EOPKG,EOPKGTopologyConditioned,e61540633e6547ed8c59bb28154d4917,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-55_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,55,eval_drift_one_pass_candidate_valid_probability_mass,0,1781018860471,0.8860410430582877
drift,EOPKG-WI,EOPKGTopologyConditionedWI,090ed1f9329c470dacabe8e87cad00e7,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-13_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,13,eval_drift_one_pass_candidate_valid_probability_mass,0,1781115666266,0.7530815971970873
drift,EOPKG-WI,EOPKGTopologyConditionedWI,431a79f4e8044d2987d5f97c90a221c6,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-42_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,42,eval_drift_one_pass_candidate_valid_probability_mass,0,1781069326858,0.7267527877758376
drift,EOPKG-WI,EOPKGTopologyConditionedWI,52976b78cd13459d8aeef2428f0736f8,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-78_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,78,eval_drift_one_pass_candidate_valid_probability_mass,0,1781119435031,0.7035779788537775
drift,EOPKG-WI,EOPKGTopologyConditionedWI,5f855ce1446645a4a4d52a5b3c12507f,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-67_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,67,eval_drift_one_pass_candidate_valid_probability_mass,0,1781114242781,0.7375264806181376
drift,EOPKG-WI,EOPKGTopologyConditionedWI,abeddbdce5fb4e07927dd4e9a3fc9b45,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-99_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,99,eval_drift_one_pass_candidate_valid_probability_mass,0,1781553261033,0.7537791974520326
drift,EOPKG-WI,EOPKGTopologyConditionedWI,e7fd057f4ac7491fa634134d5ae646f1,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-32_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,32,eval_drift_one_pass_candidate_valid_probability_mass,0,1781554484059,0.7120149894325689
drift,EOPKG-WI,EOPKGTopologyConditionedWI,edd97efded1f4ee08e676233e55461b9,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-55_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,55,eval_drift_one_pass_candidate_valid_probability_mass,0,1781118165624,0.6977395285496328
