run_set,paper_model,model_type,run_id,experiment_id,run_name,preset_name,seed,metric,step,timestamp,value
drift,EOPKG,EOPKGTopologyConditioned,210a1a668a5649d1b5ff4f4adc5fb93b,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3-drift-last-42_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3-drift-last,42,eval_drift_one_pass_candidate_class_score_mean_abs,0,1780546622400,140017.92647079105
drift,EOPKG,EOPKGTopologyConditioned,b03b8880277a467287a08bb2d2153b28,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-13_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,13,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781013540547,140017.5185969219
drift,EOPKG,EOPKGTopologyConditioned,b739aca822a14a1cbd642cd4ac692d17,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-78_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,78,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781020452993,140018.51433900595
drift,EOPKG,EOPKGTopologyConditioned,e53ccb9930de4f7bb9b8aac4b4105174,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-67_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,67,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781012289758,140018.41102507172
drift,EOPKG,EOPKGTopologyConditioned,e61540633e6547ed8c59bb28154d4917,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-drift-55_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l-drift,55,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781018860320,140018.44832924206
drift,EOPKG-WI,EOPKGTopologyConditionedWI,090ed1f9329c470dacabe8e87cad00e7,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-13_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,13,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781115666126,140012.9867642597
drift,EOPKG-WI,EOPKGTopologyConditionedWI,431a79f4e8044d2987d5f97c90a221c6,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-42_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,42,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781069326736,140012.99456814045
drift,EOPKG-WI,EOPKGTopologyConditionedWI,52976b78cd13459d8aeef2428f0736f8,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-78_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,78,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781119434871,140012.97094963593
drift,EOPKG-WI,EOPKGTopologyConditionedWI,5f855ce1446645a4a4d52a5b3c12507f,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-67_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,67,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781114242652,140012.91389011475
drift,EOPKG-WI,EOPKGTopologyConditionedWI,edd97efded1f4ee08e676233e55461b9,854778689611649472,_EOPKG_WI-UN-f1-5-drift-last-55_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5-drift-last,55,eval_drift_one_pass_candidate_class_score_mean_abs,0,1781118164985,140013.003473563
