run_set,paper_model,model_type,model_label,topology_conditioning_mode,impulse_activation_enabled,run_id,experiment_id,run_name,preset_name,seed,status,start_time,end_time,metric_count
learn,GATv2,BaselineGATv2,GATv2,static_candidates,False,bbb9ea80d692474a87731fdf952ebe1b,854778689611649472,_Base-UN-f1-42_loan_v1_v5_simulated_GATv2,_Base-UN-f1,42,FINISHED,1780610191035,1780613935160,130
learn,GATv2,BaselineGATv2,GATv2,static_candidates,False,4de188c1615448e39860458609d7ba5b,854778689611649472,_Base-UN-f1-67_loan_v1_v5_simulated_GATv2,_Base-UN-f1,67,FINISHED,1780907074707,1780913755020,130
learn,GATv2,BaselineGATv2,GATv2,static_candidates,False,0827dcd6f1a34d1a8330115b73a5f288,854778689611649472,_Base-UN-f1-13_loan_v1_v5_simulated_GATv2,_Base-UN-f1,13,FINISHED,1780914410119,1780920890561,130
learn,GATv2,BaselineGATv2,GATv2,static_candidates,False,19d9078ee52942b08295cf257ee764d0,854778689611649472,_Base-UN-f1-55_loan_v1_v5_simulated_GATv2,_Base-UN-f1,55,RUNNING,1780926520781,,131
learn,GATv2,BaselineGATv2,GATv2,static_candidates,False,6ede1f8547d64f9ca43d7c45efbd429f,854778689611649472,_Base-UN-f1-78_loan_v1_v5_simulated_GATv2,_Base-UN-f1,78,FINISHED,1780931989259,1780937149023,131
learn,EOPKG,EOPKGTopologyConditioned,GATv2,impulse_activation_routing,True,5e56c5c7531d4675b4c740f509ff678f,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-42_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l,42,FINISHED,1780655332796,1780671269459,214
learn,EOPKG,EOPKGTopologyConditioned,GATv2,impulse_activation_routing,True,ebdfb988ea654392a4a4fc270f9e7c71,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-67_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l,67,FINISHED,1780672699033,1780686203254,214
learn,EOPKG,EOPKGTopologyConditioned,GATv2,impulse_activation_routing,True,a9ec65c003b14176b0d853a15471bbbb,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-13_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l,13,FINISHED,1780836918593,1780846711486,214
learn,EOPKG,EOPKGTopologyConditioned,GATv2,impulse_activation_routing,True,b8f6130db97f4f28b27d4528497aa1f3,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-55_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l,55,FINISHED,1780850872892,1780863017853,214
learn,EOPKG,EOPKGTopologyConditioned,GATv2,impulse_activation_routing,True,5fcc89889b1d45c489329f5e3df9a5a2,854778689611649472,_EOPKG_TC-UN-f1-5-penalty3l-78_loan_v1_v5_simulated_GATv2,_EOPKG_TC-UN-f1-5-penalty3l,78,FINISHED,1780870149399,1780902078548,214
learn,LSTM,LSTM_Baseline,LSTM,static_candidates,False,e76233f053ef480991b58d327df48a9c,854778689611649472,_LSTM-UN-f1-5-42_loan_v1_v5_simulated_LSTM,_LSTM-UN-f1-5,42,FINISHED,1780742297601,1780748699615,131
learn,LSTM,LSTM_Baseline,LSTM,static_candidates,False,91bf625c79f04aeeb993f58ff30e43bb,854778689611649472,_LSTM-UN-f1-5-67_loan_v1_v5_simulated_LSTM,_LSTM-UN-f1-5,67,FINISHED,1780945466597,1780951947304,131
learn,LSTM,LSTM_Baseline,LSTM,static_candidates,False,97a69231f63141a7bb7f6780b16c17fe,854778689611649472,_LSTM-UN-f1-5-13_loan_v1_v5_simulated_LSTM,_LSTM-UN-f1-5,13,FINISHED,1780979115327,1780985187832,131
learn,LSTM,LSTM_Baseline,LSTM,static_candidates,False,de92aac60c8343dc8e495144fb1f50fb,854778689611649472,_LSTM-UN-f1-5-55_loan_v1_v5_simulated_LSTM,_LSTM-UN-f1-5,55,FINISHED,1780985669158,1780991778212,131
learn,LSTM,LSTM_Baseline,LSTM,static_candidates,False,cbbdeac775de461c865ab13391a906dd,854778689611649472,_LSTM-UN-f1-5-78_loan_v1_v5_simulated_LSTM,_LSTM-UN-f1-5,78,FINISHED,1780994794630,1781001325965,131
learn,EOPKG-WI,EOPKGTopologyConditionedWI,GATv2,static_candidates,False,a29ca3bbdf9a497d9fccaf8f2e3a6269,854778689611649472,_EOPKG_WI-UN-f1-5-42_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5,42,RUNNING,1781038323219,,70
learn,EOPKG-WI,EOPKGTopologyConditionedWI,GATv2,static_candidates,False,65820d654ea74559b1b19d0faa56202d,854778689611649472,_EOPKG_WI-UN-f1-5-67_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5,67,FINISHED,1781069948014,1781077958949,213
learn,EOPKG-WI,EOPKGTopologyConditionedWI,GATv2,static_candidates,False,8d2a911a18bb4d61a536433690b744f0,854778689611649472,_EOPKG_WI-UN-f1-5-13_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5,13,FINISHED,1781078204885,1781084288307,213
learn,EOPKG-WI,EOPKGTopologyConditionedWI,GATv2,static_candidates,False,d0cd559af6bc4bcd986fb11b0ed56877,854778689611649472,_EOPKG_WI-UN-f1-5-55_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5,55,FINISHED,1781084562001,1781091344201,213
learn,EOPKG-WI,EOPKGTopologyConditionedWI,GATv2,static_candidates,False,88e10c5c5b45467e935548e0decdf824,854778689611649472,_EOPKG_WI-UN-f1-5-78_loan_v1_v5_simulated_GATv2,_EOPKG_WI-UN-f1-5,78,FINISHED,1781091764039,1781097667025,213
learn,GATv2+Mask,BaselineGATv2Mask,GATv2,static_candidates,False,fd61176a11094a29bec34a4accb6a2e7,854778689611649472,_Base-MN-f1-67_loan_v1_v5_simulated_GATv2,_Base-MN-f1,67,FINISHED,1781265707804,1781267883111,131
learn,GATv2+Mask,BaselineGATv2Mask,GATv2,static_candidates,False,de7d038476b74690a441bf00a9b6f2fc,854778689611649472,_Base-MN-f1-42_loan_v1_v5_simulated_GATv2,_Base-MN-f1,42,FINISHED,1781275524734,1781277902319,131
learn,GATv2+Mask,BaselineGATv2Mask,GATv2,static_candidates,False,477ddf290447423086388425acd95d46,854778689611649472,_Base-MN-f1-13_loan_v1_v5_simulated_GATv2,_Base-MN-f1,13,FINISHED,1781278252153,1781280335092,131
learn,GATv2+Mask,BaselineGATv2Mask,GATv2,static_candidates,False,efb7334ec4e74b2d9dcb5c2eeed6beb3,854778689611649472,_Base-MN-f1-55_loan_v1_v5_simulated_GATv2,_Base-MN-f1,55,FINISHED,1781281137563,1781283593007,131
learn,GATv2+Mask,BaselineGATv2Mask,GATv2,static_candidates,False,48e638d369504463b16fb3f11d14da88,854778689611649472,_Base-MN-f1-78_loan_v1_v5_simulated_GATv2,_Base-MN-f1,78,FINISHED,1781284552071,1781286791688,131
